content,score,at,app
Loyal shipping and delivery's,5,2025-08-01 05:44:20,Shopee
terbaik,5,2025-08-01 05:34:02,Shopee
"SHOPEE, supermarket ni menyusahkan customer,my order ID 2507253CJK65TB kenapa boleh cancelled...live supermarket,jangan suka suka BAND customer comment!!!!",1,2025-08-01 05:08:17,Shopee
Best Malaysia Shopping App 👍,5,2025-08-01 05:00:23,Shopee
Easy and convenient,5,2025-08-01 04:49:38,Shopee
Very efficient fast delivery tracking information is helpful. 5stars!,5,2025-08-01 04:08:49,Shopee
very good,4,2025-08-01 04:04:47,Shopee
i really like shopping at shopee,5,2025-08-01 02:52:19,Shopee
good 😊,5,2025-08-01 02:27:27,Shopee
I don't need your app to lower my media volume just because you want to shove video to my face. Please stop shoving videos to everyone's face.,1,2025-08-01 02:06:30,Shopee
"launching app brings me to shopee live, why? waste my data. Remove the mini player shopee live from main page too, nobody wants to watch shopee live please. let me turn it off",2,2025-08-01 01:54:17,Shopee
good app but got a lot of scammers. Shoppe should be careful in term of filtering sellers,5,2025-08-01 01:27:07,Shopee
"The best shop in MALAYSIA, ❤️❤️🇲🇾",5,2025-08-01 01:05:50,Shopee
Overall experience of online shopping is still manageable and quite convenient Just a minor feedback is that the wheel fortune to win the coins always gets 1 coin and seldom wins more coins. A bit disappointing and not fun at all!,3,2025-07-31 22:02:36,Shopee
Ok,5,2025-07-31 18:23:19,Shopee
Woww.....mantopp...,5,2025-07-31 17:43:36,Shopee
"Spend a lot in this app until getting platinum tier, but there's literally nothing special about it. Honestly, the new user received more benefits than being a platinum user. Such a disappointment for us being loyal to shop here.",1,2025-07-31 16:46:53,Shopee
Issue solved so i update the rating,5,2025-07-31 15:30:06,Shopee
good and fine.,5,2025-07-31 15:22:54,Shopee
lifes good with shoppee haha,5,2025-07-31 15:13:01,Shopee
Ok,5,2025-07-31 14:40:37,Shopee
"good shopping apps, best in Malaysia.. with lot lot facilities for buyer..",5,2025-07-31 14:40:33,Shopee
"Easy to use, fast delivery.",5,2025-07-31 14:26:10,Shopee
I HATE SHOPEE.... SIKIT II IKLAN PLEASE LAH PHONE AKU JADI LAG DISEBABKAN IKLAN... MENYUSAHKAN JE! MASUK TIKTOK IKLAN. NAK MAIN GAME IKLAN. APE SEMUA IKLAN SHOPE SHOPE SHOPE SHOPE SHOPE!!!!!!,1,2025-07-31 14:15:23,Shopee
"The app recently become sooo annoying to use or open, because of its live video on startup that i cant even turn off. Do you even QA that",1,2025-07-31 14:03:11,Shopee
CANNOT PAY USING RHB BANK!,1,2025-07-31 13:59:19,Shopee
very good 👍🏻,5,2025-07-31 13:45:17,Shopee
no COD??,5,2025-07-31 13:30:01,Shopee
Ok ooo,5,2025-07-31 13:29:35,Shopee
Good n so magical,5,2025-07-31 13:27:39,Shopee
"this app is obnoxiously laggy and unresponsive. it runs in the background and hogs your resource and you can't even force stop it anyhow; and guess what, not only does it consume diabolical amount of resource, it also constantly nag you with their ""on sales product"" or whatever their shenanigans. this app is the definition of a nagware and resource hogger. do NOT install this app especially if you have a low-end phone.",1,2025-07-31 13:02:28,Shopee
Overall is ok but why courier always send at night?,4,2025-07-31 12:10:18,Shopee
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️,5,2025-07-31 11:50:32,Shopee
Shopper pnya phantaran truk sgt skg...rasanya kita kna bpindah shopping kt tempat lain ni,5,2025-07-31 11:35:53,Shopee
"Please update your centre. 2 times cheated by your system to return items. When I reach the centre, the centre is permanently closed but not in your system. 2 kali dah.. susah betul kalau nak return item. Bukan salah kita pun.. Seller hantar barang salah lah... seller hantar barang tak sama. patut kena penalty seller yang salah ni.. Dan please please update your return centre ya Shopee... susahkan I sahaja..sekian.",5,2025-07-31 11:23:41,Shopee
sangat memuaskan,5,2025-07-31 11:18:08,Shopee
Excellent!!! Penghantaran yang cepat..terima kasih,5,2025-07-31 11:05:24,Shopee
"I've been use this apps since they're launch and this is a first time i got banned for some reason that i didn't to it, very bad experience for this apps, i want my account back!!!",1,2025-07-31 10:53:16,Shopee
best,5,2025-07-31 10:34:07,Shopee
good,5,2025-07-31 10:31:23,Shopee
👍👍👍👍👍,5,2025-07-31 10:02:35,Shopee
i really like this app(shopee Malaysia) because shoppee pay later helped me a lot. Thank you Shopee Malaysia 😘,5,2025-07-31 09:50:27,Shopee
"Good app. Easy to buy this with reasonable price. And fast delivery. With coupons. Discounts., worth it to buy in this app",5,2025-07-31 09:48:31,Shopee
so far mmg suka beli kat shopee senang tapi shopeee kena upgrade sikit macam TikTok kita blh nampak maps barang kita kat mana,5,2025-07-31 09:32:48,Shopee
"Easy search, Easy pay, easy delivery",5,2025-07-31 09:29:09,Shopee
this app became the worst shopping online app for me..hate it because buyer can't select courier what we want to use..my parcel Keep getting on hold for delivery and it end up return to seller,1,2025-07-31 09:23:16,Shopee
gooodddddd,5,2025-07-31 09:18:01,Shopee
good,5,2025-07-31 09:10:14,Shopee
happy shopping in shopee,5,2025-07-31 08:33:21,Shopee
excellent,5,2025-07-31 07:11:24,Shopee
bezakan dgn platform lain sy akan cari hrga yg murah. tp policy return back sy suke. skrg xpwrlu ke luar semua beli on9,5,2025-07-31 06:57:17,Shopee
"I hate that after the new update this app directs you to Live & Video first when you open it. I use this app for shopping, not to watch tiktok. Please fix it 🫤",1,2025-07-31 06:15:10,Shopee
Super apps👌,5,2025-07-31 05:43:31,Shopee
so far so good,4,2025-07-31 05:32:51,Shopee
best app to shop onlne..money safe guaranty,5,2025-07-31 05:20:42,Shopee
good video app,5,2025-07-31 05:19:52,Shopee
Terbaik..,5,2025-07-31 04:38:26,Shopee
perfecto ✨💜,5,2025-07-31 03:54:46,Shopee
terbaik,5,2025-07-31 03:33:15,Shopee
macam macam ada di jual,5,2025-07-31 03:10:29,Shopee
"your spin for coins is a scam. every spin I make is only 1 coin. I have collected so many and just try to spin 10 times and all are only 1 coin, so funny on how you choose your customers for this. maybe it's because I only buy 1 thing a month I get this kind of spin? I wonder 🤔",2,2025-07-31 02:57:27,Shopee
easy to use,5,2025-07-31 02:12:23,Shopee
I simply love it.,5,2025-07-31 01:31:49,Shopee
My favorite go-to online shopping platform. But if Self-Collection can be used for orders up to RM300 I'd be very happy,5,2025-07-31 01:26:41,Shopee
bagus vert good,5,2025-07-31 01:25:41,Shopee
terbaikkk,5,2025-07-31 00:58:09,Shopee
good loyalty,5,2025-07-30 23:45:40,Shopee
Barang murah ikut pada budget dan banyak pilihan dihujung jari,5,2025-07-30 22:37:28,Shopee
I like,4,2025-07-30 20:49:49,Shopee
Good For Everything,5,2025-07-30 16:43:48,Shopee
very nice 👍🏻,5,2025-07-30 16:31:46,Shopee
That would be good if the app can automatically switch to the back camera if the front camera is not working during login.,2,2025-07-30 15:37:12,Shopee
good,5,2025-07-30 15:00:17,Shopee
I love the rm 0.00,5,2025-07-30 14:37:15,Shopee
"Shopee is getting real sneaky nowadays. Some product listing have very low display price but the shipping cost is like 50% of the thing's price. And then there's seller that add a cheap ""variation"" into their listing to make it appear cheap. For example jeans is 50 but seller put one white shirt that cost 8, and the display price becomes 8. Shopping is really hard like this. Also some ""voucher"" changes display price and it's impossible to browse. I screenshot and search in Lazada now.",1,2025-07-30 14:23:25,Shopee
easy to buy ..and reasonable price,5,2025-07-30 13:51:47,Shopee
Terbaik...👍👍👍,5,2025-07-30 13:32:23,Shopee
greag,5,2025-07-30 13:25:17,Shopee
"The live quality were blurry and cannot be change , i hope there will be quality option for live session instead auto .",1,2025-07-30 12:52:58,Shopee
"banyak membantu, terbaik",5,2025-07-30 12:20:46,Shopee
"Shopee is my go-to app for online shopping in Malaysia. Great variety of products, reasonable prices, and lots of discounts and vouchers. Delivery is usually fast and the packaging is secure. Overall, a very reliable platform. Highly recommended!",5,2025-07-30 12:14:43,Shopee
Good. Okay,4,2025-07-30 12:09:20,Shopee
nice,5,2025-07-30 12:06:58,Shopee
👍🤝,4,2025-07-30 11:55:16,Shopee
good,5,2025-07-30 11:42:14,Shopee
"Shopee is awesome no matter how many items u shop shilling is in time, a lot of bonuses and discounts, Shipping prices are low and some items are free to ship, no need for stressing around malls and shops not misleading I've used it for 3 years and no regrets not single one your best local and overseas Shop",5,2025-07-30 11:36:53,Shopee
Nice,5,2025-07-30 11:31:27,Shopee
ok.,5,2025-07-30 10:55:49,Shopee
I'm happy with the service provided by Shopee. Awesome 👍,5,2025-07-30 10:37:49,Shopee
nice app👍👍👍,5,2025-07-30 10:28:09,Shopee
good experience with shoppe,5,2025-07-30 09:46:04,Shopee
add support for heic file type when chat with seller or refund item..apps only read jpeg @ jpg,4,2025-07-30 09:37:34,Shopee
We would like Shopee add a new slot of bank account cards for AEON Bank ✌️,5,2025-07-30 09:32:25,Shopee
app online paling mantap nihri oder esk sampai,5,2025-07-30 09:19:25,Shopee
Easy to use and up to date,5,2025-07-30 09:18:43,Shopee
good,5,2025-07-30 08:51:32,Shopee
Nice app to buy things online You can buy anything a to z from this app.. Spay later make a great chance for me to buy and pay by monthly..its great!,5,2025-07-30 08:35:12,Shopee
"Good shopee website better than Lazada which have alot of Fake suppliers. Order coffee grinder, send me 2 pieces of rubber. Lazada VERY BAD.",5,2025-07-30 08:16:01,Shopee
very good app,5,2025-07-30 08:05:01,Shopee
cannot COD,1,2025-07-30 07:46:31,Shopee
mudah untuk membandingkan harga & batalkan pesanan seandainya jumpa yg lbh murah @ berbaloi.. Refund dlm 1 @ 2 hari saja,5,2025-07-30 07:34:20,Shopee
Terbaik... Boleh repeat membeli,5,2025-07-30 07:08:30,Shopee
thanks for shopee,5,2025-07-30 06:56:34,Shopee
"i enjoy it, but please give more voucher then give more less price. please make free shipping reasonable more and more!",3,2025-07-30 06:52:31,Shopee
make purchasing goods easier and easier tu use,5,2025-07-30 06:52:11,Shopee
boleh laa,5,2025-07-30 06:38:34,Shopee
"Privacy problems. Keep having problems. Transfer money problems. Shopeepay and ID verification problems return again, hijacked I think. Unsafe. Prices jumped instantly in the order too, goods quality problems. Lousy service. Months kyc problems still unresolved. Workers corrupt, playing price fixing and monopoly.",1,2025-07-30 06:21:17,Shopee
very good services and price. suitable for those who are lazy to go out shopping,5,2025-07-30 06:13:40,Shopee
very convenient to shop for product of my necessity,5,2025-07-30 06:03:59,Shopee
fast delivery,5,2025-07-30 05:30:39,Shopee
membeli belah dibawah Saturday bumbung,5,2025-07-30 05:13:51,Shopee
the best shopping experience ever 🤩,5,2025-07-30 05:13:35,Shopee
👍🏻,5,2025-07-30 05:08:26,Shopee
The simple ways to buy make life more easier,5,2025-07-30 04:56:51,Shopee
"useless video feature i dont want to watch 'tiktok video' in my shopping app, i just want shopping,please remove the 'tiktok video' feature whenever I open Shopee",1,2025-07-30 04:37:13,Shopee
the best.,5,2025-07-30 04:21:56,Shopee
"Shopee app mmg bagus, user friendly, byk coupon dan bykkan lg coupon ye 😅 cuma lately byk brg² yg diterima ditipu oleh seller, yg ori tp bila dpt bukan ori sedangkan bayaran utk pilihan ori, pilih yg baru tp dpt yg recycled yet bayar pun utk yg baru, mmg faham ada yg OEM, yg fake, yg recycled, di checkout dh tentu pilihan dibuat... maybe Shopee should look into this matter instead of return or refund, banned the seller ke or suspended etc...✌🏻",3,2025-07-30 03:48:25,Shopee
good,5,2025-07-30 03:48:24,Shopee
Best online shopping platform ever😊,5,2025-07-30 03:29:39,Shopee
excellent,5,2025-07-30 02:55:55,Shopee
please do not force us to watch live video when we open the App. Very Annoying and really wanna make me change to Tiktok Instead.,1,2025-07-30 02:09:34,Shopee
Pesankan pd penghantar. Hati hati dlm menghantar pesanan org2.👍✅,2,2025-07-30 01:42:42,Shopee
Happy,5,2025-07-30 01:34:36,Shopee
memang selalu beli barang dekat sini je,5,2025-07-30 01:18:38,Shopee
awesome the best service app,5,2025-07-30 00:59:23,Shopee
terbaik,5,2025-07-30 00:18:47,Shopee
nice,5,2025-07-30 00:10:03,Shopee
terbaik,5,2025-07-29 23:41:12,Shopee
Senang beli brg dgn shoppe. Brg cepat sampai dan harga murah. Thank you shoppe,5,2025-07-29 22:12:01,Shopee
no complain except the videos are annoying.. it opens directly when you access shoppee and difficult to cut off..,5,2025-07-29 21:45:02,Shopee
good,5,2025-07-29 21:25:33,Shopee
banyak iklan bangang tau lah func shoppee tkyah slalu tunjuk iklan app bodoh,1,2025-07-29 18:32:39,Shopee
terbaik dari ladang ternakan Colombia..tadak nak ranjau punya,5,2025-07-29 15:45:32,Shopee
good,5,2025-07-29 15:41:42,Shopee
good,5,2025-07-29 15:36:05,Shopee
it would been great if it has some dark mode version.,3,2025-07-29 15:32:35,Shopee
Live video from saller keeps blurring.. All live video.. Why? Help me..,2,2025-07-29 15:18:38,Shopee
suke gune shoppe murah delivery pon laju ye,5,2025-07-29 15:00:42,Shopee
Must have apps if you want to save up money when shopping....i mean shopee,5,2025-07-29 14:59:29,Shopee
"Shopee sgt memudahkan. Byk brg2 yg susah nk cari kt market ad dlm shopee, jimat masa & kos serta byk pilihan kita sbgai buyer.",5,2025-07-29 13:22:12,Shopee
gambar saya kabur tidak nampak mereka buat live... tidak tahu Salah siapa... telefon saya.. line kah... Tau shopee... no komen,1,2025-07-29 12:56:02,Shopee
good,5,2025-07-29 12:55:05,Shopee
"I love Shopee always bring me great deal, excellent best shopping online in my life",5,2025-07-29 12:47:05,Shopee
senang nak oderrr,5,2025-07-29 12:29:14,Shopee
baik,5,2025-07-29 12:28:44,Shopee
Excellent,5,2025-07-29 12:17:25,Shopee
seronok shopping online,5,2025-07-29 12:02:28,Shopee
best shopping sini... barang murah,5,2025-07-29 12:01:02,Shopee
"App is slow Edit: Been using this app for a decade now, more or less. The app is no longer lagging as it used to be. And there are lots of features now.",5,2025-07-29 11:52:24,Shopee
good promosi!!!TQ shopee!!!,5,2025-07-29 11:49:00,Shopee
easy to use . customer services are very helpful . thankyouuu for the good appssssssssss . soo exciteddd . im very satisfieddd .,5,2025-07-29 11:40:02,Shopee
shopee is the best shopping online. everything we in here. love shopee so much.😍😍😍😍😍😍,5,2025-07-29 11:31:06,Shopee
Easy to order and pay through the many modes of paying,5,2025-07-29 10:55:16,Shopee
"The price you look at the item is different when paying because it adds shipping fees, and it delivers so slow 🐌 it took more than 25 days to deliver to my house. Slower than Temu",2,2025-07-29 10:33:53,Shopee
nice,5,2025-07-29 10:18:41,Shopee
Very Helpful,5,2025-07-29 10:12:54,Shopee
I'm so. satisfied with this app and can get cheaper prices for the things that i want... and i enjoy shopping with Shopee,5,2025-07-29 10:03:21,Shopee
Al good,5,2025-07-29 09:29:26,Shopee
good,5,2025-07-29 08:43:44,Shopee
👍👍👍,5,2025-07-29 08:29:41,Shopee
very good,5,2025-07-29 07:11:27,Shopee
very good,5,2025-07-29 07:10:35,Shopee
Lots of promotion and good prices products with good review.,5,2025-07-29 07:09:44,Shopee
good,5,2025-07-29 07:06:54,Shopee
"Items that are sold at twice the price are cheaper and you can get a voucher, so try downloading Shope.",5,2025-07-29 07:02:07,Shopee
"apa masalah shopee ? voucher yg kau bagi aku guna la ,asal aku dah bayar d 7eleven kau auto cancel barang aku ? pastu duit ntah kemana .. tolong shopee aku nak barang aku ada.",1,2025-07-29 07:01:38,Shopee
nice.,5,2025-07-29 06:32:43,Shopee
Penghantaran laju dan pembawanya sgt cermat.,5,2025-07-29 06:20:14,Shopee
guna platform shoppe sebab ada spaylater......🤣🤣🤣🤣🤣 cuma kuriuer spx problem.......guna alamat rumah memang lambat sampai la....silap2 parcel return balik ke seller.....nak cepat kena self collect......👍👍👍👍,5,2025-07-29 06:02:06,Shopee
very satisfied with the service,5,2025-07-29 05:56:13,Shopee
apa la face recognition menyusahkan boleh tak kenal muka saya..,1,2025-07-29 05:49:39,Shopee
semua ada di shopee mudah,5,2025-07-29 05:13:26,Shopee
Byk points video yg menonton tak masuk. Tipu 3hari turut,1,2025-07-29 04:58:47,Shopee
can you stop navigating users to Live & Video tab on apps start? it's so annoying!,1,2025-07-29 04:41:19,Shopee
Please stop auto play reel video that is very annoying,3,2025-07-29 03:04:32,Shopee
Helpful and efficient apps.,5,2025-07-29 02:09:48,Shopee
"I shop alot using shopee, for groceries, household items, cloths, handmade jewelry, crystals... etc. Shopee is very useful for busy life and convenient to use.",5,2025-07-29 01:57:35,Shopee
Get more discounts and points to redeem,5,2025-07-29 01:23:41,Shopee
Force me to video tab when i open the app everytime. i dont want to see the video everytime when i open the app. i just want to browse item that i want to buy. pls fix it.,1,2025-07-29 00:21:58,Shopee
"not sure what happened. every time open the app, live segment will pop up.i don't want that!",2,2025-07-29 00:11:40,Shopee
Mantap bos,5,2025-07-28 22:54:24,Shopee
Very good for online shopping experience..It's important that we spend with a safe feeling..TQ for this app.,5,2025-07-28 19:14:58,Shopee
ok,3,2025-07-28 19:04:17,Shopee
good,5,2025-07-28 18:18:45,Shopee
"Overall still good. I'm Choosing shopePay over TnGo, yet shopePay has no signal 30%+- of the times I use, pls improve!",4,2025-07-28 17:22:17,Shopee
apps yg terbaik..segalanya mudah.. response pun pantas..,5,2025-07-28 17:10:59,Shopee
barang smpi dlm keadaan elok,5,2025-07-28 16:59:58,Shopee
padu,5,2025-07-28 16:31:40,Shopee
terbaikkkk,5,2025-07-28 15:19:22,Shopee
"A lot of improvement than before. Thank you but PLEASE get rid of the video. Majority of it is a stolen content and not related to selling products at all. When opening the app, still showing video. Very annoying. Make the app simple again",3,2025-07-28 15:18:29,Shopee
ok,5,2025-07-28 15:13:07,Shopee
"ntah lah x de pilihan tmpt nak shopping , sini jeade",3,2025-07-28 14:18:37,Shopee
TERBAIK...... MURAH..... CUMA PERLU PERBANYAKAN LAGI VOUCHER,5,2025-07-28 13:11:31,Shopee
The similar products reviews are straight up misleading and false. It could literally scam us.,3,2025-07-28 13:01:11,Shopee
Excellent July 2025,5,2025-07-28 12:53:27,Shopee
excellent,5,2025-07-28 12:13:50,Shopee
amazing...,5,2025-07-28 11:49:52,Shopee
SPX poor services & Bad Reputation 👎👎👎💩💩💩,1,2025-07-28 11:48:22,Shopee
👍👍👍👍👍,5,2025-07-28 11:27:34,Shopee
shopee is the best,5,2025-07-28 11:11:44,Shopee
really,5,2025-07-28 11:07:02,Shopee
barang dah murah...tapi selalu kena cancel dan untuk pre order pun sama sudah lah kena tunggu lama last last seller cancel order .Shopee kena adil dan tolong jaga kedua dua pihak. Untuk self collect pula tidak ada option default centre...,2,2025-07-28 10:46:07,Shopee
"Dunno why seller really loves to display 1 cheap product on the same page as expensive product. then, when displayed, it shows picture if expensive product with cheap product price",1,2025-07-28 10:24:08,Shopee
Shopee is a platform that can get with the affordable price,5,2025-07-28 10:03:11,Shopee
"This app is very poor in return refund policy, don't bother what a customer face .",1,2025-07-28 09:59:59,Shopee
"all good but when opening the apps, on default it will open videos right? the problem is even after leaving the videos section the sound still play in the background. please fix this.",4,2025-07-28 09:57:26,Shopee
terbaekk,5,2025-07-28 09:36:41,Shopee
"The shopping experience is quick and easy. However, I wish the search algorithm can be improved. I still get a lot of results unrelated to what I searched for.",4,2025-07-28 09:21:07,Shopee
"it's totally addicted 😁 but interesting to buy products in shopee but you must careful coz some products are fake,,,you need to buy carefully,,but if you have buy products in better choice is satisfied with products and I loved it!❤️",5,2025-07-28 09:17:08,Shopee
"Shopee Live starts automatically every time I open the app, which consumes internet data without my consent and creates unnecessary noise. This is very inconvenient, especially in quiet environments or when using limited mobile data. Please consider giving users the option to disable auto-play for Shopee Live.",1,2025-07-28 09:09:15,Shopee
terbaik,5,2025-07-28 08:58:20,Shopee
everything is perfect,5,2025-07-28 08:57:33,Shopee
Good service,4,2025-07-28 08:56:34,Shopee
mudah baso sene kiro,5,2025-07-28 08:26:16,Shopee
iklan sikit ii dah la woi,1,2025-07-28 08:15:56,Shopee
nice,4,2025-07-28 08:09:52,Shopee
mantap,5,2025-07-28 07:33:59,Shopee
"Nothing frustrated me so much how the app getting bloated every single day, now getting force to the most bloated section on the app reels (video section) where i dont even want to see or open. The app became so laggy and make me hate to buy or add to cart item from that section.",1,2025-07-28 06:59:10,Shopee
very good app,5,2025-07-28 06:53:15,Shopee
Malaysia courier sevice not consistence.,3,2025-07-28 06:34:42,Shopee
"On of the trusted online shopping app, kudos shopee👍👍👍!",5,2025-07-28 06:31:33,Shopee
so so only,5,2025-07-28 06:29:59,Shopee
terbaik,5,2025-07-28 05:53:18,Shopee
good,5,2025-07-28 05:38:06,Shopee
Why removed all my cash back vouchers?,1,2025-07-28 05:13:55,Shopee
"shopee jahat dan sengaja cas bunga kat aku, AKU SURUH CANCEL ORDER ROADTAX TU TAPI KAU SENGAJA MEMPERCEPATKAN PROSES RENEW NYA",1,2025-07-28 05:07:23,Shopee
makin lama makin teruk voucher percuma pun tiada hmm,1,2025-07-28 04:56:53,Shopee
almost satisfied..sellers/delivery crew...keep up yr gd service for customers tq,5,2025-07-28 04:47:15,Shopee
wow,5,2025-07-28 04:00:56,Shopee
very easy to buy item..easy too pay.thank you.,5,2025-07-28 03:50:58,Shopee
"I find the user experience to be poor and unfriendly. I cannot find the favourite item page on the website and it is only available on the phone. I dislike using the mobile app, every time I enter the app, there will be live video playing and some items also have live video playing. I wish these are off by default or there are ways to switch it off. I am also unable to view items on desktop without login my account, major disappointment and dissatisfaction towards shopee.",1,2025-07-28 03:38:20,Shopee
apa ni shopee banyak video gelek² yal lah,1,2025-07-28 03:36:54,Shopee
Good Apps,5,2025-07-28 03:36:13,Shopee
good,5,2025-07-28 03:27:55,Shopee
Ok terbaik,5,2025-07-28 02:58:10,Shopee
Terbaik 2025,5,2025-07-28 02:55:09,Shopee
cannot rate worst seller always send wrong item..when return cannot rate,1,2025-07-28 02:26:08,Shopee
excellent and marvelous,5,2025-07-28 01:51:50,Shopee
very good app,5,2025-07-28 01:51:40,Shopee
ok,5,2025-07-28 01:39:08,Shopee
Okay murahh,5,2025-07-28 00:29:08,Shopee
good,5,2025-07-28 00:16:44,Shopee
Sangat membantu.,5,2025-07-28 00:15:24,Shopee
delivery fast. cancel progress fast. only unhappy is can't phone and enquire.,5,2025-07-28 00:11:36,Shopee
Excellence services,5,2025-07-28 00:03:27,Shopee
memuaskan,4,2025-07-27 23:59:34,Shopee
"hate the the default screen open is the live & video, and it got a bugs where sound still playing in the background after change tab to home or profile",1,2025-07-27 22:48:05,Shopee
new update very suck i dont like the video as first page,1,2025-07-27 22:42:08,Shopee
"Terrible Algorhythm & boring. Things I liked or have typed in search --- it will keep on popping up on every scroll regardless of product category. And suggestions at home page doesnt work either. I want to see new things, new options. Not the same things that I've seen & liked.",1,2025-07-27 17:43:37,Shopee
"I am extremely disappointed with Shopee's handling of loyal customers like myself. I’ve been subjected to invasive and unreasonable demands, including taking a selfie holding my NRIC, just to resolve a minor voucher issue. This level of scrutiny treats customers like criminals for what could have been an unintentional mistake. Shopee’s approach is heavy-handed, offensive, and a complete violation of privacy. Cancelling orders and blocking voucher eligibility without proper investigation.",1,2025-07-27 17:36:49,Shopee
very convenient and responsive,5,2025-07-27 17:25:03,Shopee
good,5,2025-07-27 15:42:43,Shopee
"Yeeeahh, update kalini baru lah shopee apps setting kembali orizinal.bukak shopee no autoplay video/live.atlist nak ambil brg kt collection point or buka shopee di tmpat awam tak la malu sbb shopee reel/live dh tak autoplay😉.",5,2025-07-27 14:59:50,Shopee
serabut la video. asal bukak shoppe keluar video auto play. JD MCM org bodoh. Aku tak nak tgk video. I hate this auto play video function every time I open shoppe app. Feel like stupid. I don't want to watch video.,1,2025-07-27 14:41:21,Shopee
shopi app is my best app,5,2025-07-27 14:35:01,Shopee
"Worked hard to reach Shopee Platinum by June, but very disappointed. Exclusive vouchers aren’t better than regular ones. My first 3 orders in July weren’t counted, and support couldn’t solve it. They acknowledged the issue but kept closing my case. Worst part—those orders were later deleted from my history. Feels unfair and unprofessional. Not worth the effort for so-called Platinum benefits. I will bring the case to KPDN and MCMC if my case is not solved!",1,2025-07-27 14:34:05,Shopee
nice cute,5,2025-07-27 14:27:32,Shopee
delivery very fast n lots of discount,5,2025-07-27 14:21:59,Shopee
Gila menyopping kalau di Shopee..😄😆🤭 #ShopeeLebihMurah #BuyNow² gais..😂🤣,5,2025-07-27 14:20:54,Shopee
i can buy everything in there..,5,2025-07-27 13:49:06,Shopee
Superb,5,2025-07-27 13:26:28,Shopee
mantap,5,2025-07-27 12:47:02,Shopee
Getting worse. Noisy app starts with videos containing trash music and click bait. Many of the videos are linked to cheap copies of similar looking products and some are not even the same product.,1,2025-07-27 12:43:31,Shopee
Good app..easy to buy..fast delivery..good price..10/10..👍👍,5,2025-07-27 12:24:39,Shopee
Terbaiklah sangat memuaskan.,5,2025-07-27 12:19:06,Shopee
becoming more and more frustrating to use.. always buffering with server and connectivity issues!,2,2025-07-27 12:12:58,Shopee
I like using shopee sebab super... Bnyak barang2x murah Dan sangt2x berbaloi😊untuk belli kt shopee ni tau...,5,2025-07-27 12:03:16,Shopee
OI KO MMG AN AQ TGH SHOK II BUKAK APPS PASTU XHABIS II NGAN IKLAN BARUA KO TU ANJ,1,2025-07-27 11:50:01,Shopee
mantap shopee,5,2025-07-27 11:38:44,Shopee
easy cheap and convenient.,5,2025-07-27 11:12:57,Shopee
good online shop apps,4,2025-07-27 10:39:40,Shopee
Good,5,2025-07-27 10:36:05,Shopee
customer servis paling bodoh bagi automasi. bila bercakap dengan agen selang beberapa minit putus dan terpaksa ulang balik. bila tukar phone baru akaun tidak boleh dilog in. terpaksa lalui security yang bodoh. antaranta terpaksa scan qr code daripada phone lama. kalo phone lama hilang atau rosak? berbanding security bank akaun kita mudah aje prosedur untuk log in menggubakan akaun baru. tapj shope lebih bodoh security daripada sistem security bank. saya gan playform shope.,1,2025-07-27 10:23:57,Shopee
"Sangat memudahkan, byk promosi dan selamat berbelanja di platform ini",5,2025-07-27 10:06:15,Shopee
management slow!!!,1,2025-07-27 10:02:28,Shopee
shoppe is a good apps,5,2025-07-27 10:02:03,Shopee
"Okay so far. Lot of improvements. I just hope there's option to choose other courier, mainly fragile or short date item like food. Haven't buy my fav frozen food since they applied not able to change courier. SPX habit like to fermented their parcels are not worth to risk for food item. I don't mind paying more for other courier options besides SPX. Give more guarantee courier options like Ninjavan, JNT, Poslaju and Gdex.",3,2025-07-27 09:38:42,Shopee
"if can, i choose no star",1,2025-07-27 09:24:37,Shopee
"Every time open this app, it will straight away go to video with sound. really frustrated when open it at public area.",1,2025-07-27 09:16:36,Shopee
Fast delivery. Good quality,5,2025-07-27 09:08:35,Shopee
love shoppe,5,2025-07-27 09:02:50,Shopee
superb,5,2025-07-27 08:34:09,Shopee
terbaik,5,2025-07-27 08:28:50,Shopee
good,5,2025-07-27 08:02:05,Shopee
good,5,2025-07-27 06:21:40,Shopee
best app ever,5,2025-07-27 06:20:05,Shopee
Shopee best..selalu ada free shipping dan selamat untuk pengguna.,5,2025-07-27 06:14:00,Shopee
nice,5,2025-07-27 06:07:25,Shopee
Why my shoppe video template so lag when I use it,1,2025-07-27 05:42:41,Shopee
this app so very functional,5,2025-07-27 05:41:18,Shopee
why my video template Very lag when I sue it,1,2025-07-27 05:33:41,Shopee
"Hard to get free shipping vouchers! All free shipping vouchers are all tricky. Either from selected sellers, or not selected by product itself. If it's still going to do in this way, sooner you will lose more customers, before I totally switch to Temu, wanted to write my review here. Online shopping supposed to make people happy to use with your platform instead of getting more disappointment after a while, loose 1 customer doesn't affect your business, but it doesn't mean shopee good.",1,2025-07-27 05:17:59,Shopee
Fast delivery service,5,2025-07-27 05:13:54,Shopee
terbaik,5,2025-07-27 05:13:33,Shopee
1 star because your ads are annoying af. cant even close the ads even though the close button is there. the ads force people to shopee site. the ads made me uninstall the apps. better use other platform. annoying af,1,2025-07-27 04:46:29,Shopee
